model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
gru,adam,0.001,64,5,0.8430232558139535,0.8072916666666666,0.9011627906976744,0.8516483516483516,"[[135, 37], [17, 155]]"
gru,adam,0.001,128,1,0.8343023255813954,0.7948717948717948,0.9011627906976744,0.8446866485013624,"[[132, 40], [17, 155]]"
gru,adam,0.001,128,2,0.8575581395348837,0.847457627118644,0.872093023255814,0.8595988538681948,"[[145, 27], [22, 150]]"
gru,adam,0.001,128,3,0.8430232558139535,0.8277777777777777,0.8662790697674418,0.8465909090909091,"[[141, 31], [23, 149]]"
gru,adam,0.001,128,4,0.8546511627906976,0.8177083333333334,0.9127906976744186,0.8626373626373627,"[[137, 35], [15, 157]]"
gru,adam,0.001,128,5,0.8488372093023255,0.8296703296703297,0.877906976744186,0.8531073446327684,"[[141, 31], [21, 151]]"
gru,adam,0.0001,8,1,0.8401162790697675,0.8128342245989305,0.8837209302325582,0.8467966573816156,"[[137, 35], [20, 152]]"
gru,adam,0.0001,8,2,0.8575581395348837,0.8397790055248618,0.8837209302325582,0.8611898016997167,"[[143, 29], [20, 152]]"
gru,adam,0.0001,8,3,0.8517441860465116,0.827027027027027,0.8895348837209303,0.8571428571428571,"[[140, 32], [19, 153]]"
gru,adam,0.0001,8,4,0.8313953488372093,0.8031914893617021,0.877906976744186,0.8388888888888889,"[[135, 37], [21, 151]]"
gru,adam,0.0001,8,5,0.8488372093023255,0.8225806451612904,0.8895348837209303,0.8547486033519553,"[[139, 33], [19, 153]]"
gru,adam,0.0001,16,1,0.8284883720930233,0.7958115183246073,0.8837209302325582,0.837465564738292,"[[133, 39], [20, 152]]"
gru,adam,0.0001,16,2,0.8546511627906976,0.8279569892473119,0.8953488372093024,0.8603351955307262,"[[140, 32], [18, 154]]"
gru,adam,0.0001,16,3,0.8546511627906976,0.8388888888888889,0.877906976744186,0.8579545454545454,"[[143, 29], [21, 151]]"
gru,adam,0.0001,16,4,0.8313953488372093,0.796875,0.8895348837209303,0.8406593406593407,"[[133, 39], [19, 153]]"
gru,adam,0.0001,16,5,0.8459302325581395,0.8216216216216217,0.8837209302325582,0.8515406162464986,"[[139, 33], [20, 152]]"
gru,adam,0.0001,32,1,0.8313953488372093,0.8031914893617021,0.877906976744186,0.8388888888888889,"[[135, 37], [21, 151]]"
gru,adam,0.0001,32,2,0.8226744186046512,0.7905759162303665,0.877906976744186,0.8319559228650137,"[[132, 40], [21, 151]]"
gru,adam,0.0001,32,3,0.8430232558139535,0.8206521739130435,0.877906976744186,0.848314606741573,"[[139, 33], [21, 151]]"
gru,adam,0.0001,32,4,0.8284883720930233,0.798941798941799,0.877906976744186,0.8365650969529086,"[[134, 38], [21, 151]]"
gru,adam,0.0001,32,5,0.8226744186046512,0.7846153846153846,0.8895348837209303,0.8337874659400545,"[[130, 42], [19, 153]]"
gru,adam,0.0001,64,1,0.8052325581395349,0.7638190954773869,0.8837209302325582,0.8194070080862533,"[[125, 47], [20, 152]]"
gru,adam,0.0001,64,2,0.811046511627907,0.7635467980295566,0.9011627906976744,0.8266666666666667,"[[124, 48], [17, 155]]"
gru,adam,0.0001,64,3,0.8284883720930233,0.8087431693989071,0.8604651162790697,0.8338028169014085,"[[137, 35], [24, 148]]"
gru,adam,0.0001,64,4,0.8052325581395349,0.774869109947644,0.8604651162790697,0.8154269972451791,"[[129, 43], [24, 148]]"
gru,adam,0.0001,64,5,0.8255813953488372,0.788659793814433,0.8895348837209303,0.8360655737704918,"[[131, 41], [19, 153]]"
gru,adam,0.0001,128,1,0.7441860465116279,0.7019230769230769,0.8488372093023255,0.7684210526315789,"[[110, 62], [26, 146]]"
gru,adam,0.0001,128,2,0.7383720930232558,0.6863636363636364,0.877906976744186,0.7704081632653061,"[[103, 69], [21, 151]]"
gru,adam,0.0001,128,3,0.7238372093023255,0.6711111111111111,0.877906976744186,0.760705289672544,"[[98, 74], [21, 151]]"
gru,adam,0.0001,128,4,0.7383720930232558,0.6915887850467289,0.8604651162790697,0.7668393782383419,"[[106, 66], [24, 148]]"
gru,adam,0.0001,128,5,0.7325581395348837,0.6886792452830188,0.8488372093023255,0.7604166666666666,"[[106, 66], [26, 146]]"
gru,adam,1e-05,8,1,0.6976744186046512,0.6634615384615384,0.8023255813953488,0.7263157894736842,"[[102, 70], [34, 138]]"
gru,adam,1e-05,8,2,0.7093023255813954,0.6636363636363637,0.8488372093023255,0.7448979591836735,"[[98, 74], [26, 146]]"
gru,adam,1e-05,8,3,0.7093023255813954,0.6698113207547169,0.8255813953488372,0.7395833333333334,"[[102, 70], [30, 142]]"
gru,adam,1e-05,8,4,0.7151162790697675,0.6697247706422018,0.8488372093023255,0.7487179487179487,"[[100, 72], [26, 146]]"
gru,adam,1e-05,8,5,0.7034883720930233,0.6650943396226415,0.8197674418604651,0.734375,"[[101, 71], [31, 141]]"
gru,adam,1e-05,16,1,0.6976744186046512,0.6650485436893204,0.7965116279069767,0.7248677248677249,"[[103, 69], [35, 137]]"
gru,adam,1e-05,16,2,0.6947674418604651,0.6602870813397129,0.8023255813953488,0.7244094488188977,"[[101, 71], [34, 138]]"
gru,adam,1e-05,16,3,0.6918604651162791,0.6527777777777778,0.8197674418604651,0.7268041237113402,"[[97, 75], [31, 141]]"
gru,adam,1e-05,16,4,0.6976744186046512,0.6650485436893204,0.7965116279069767,0.7248677248677249,"[[103, 69], [35, 137]]"
gru,adam,1e-05,16,5,0.7005813953488372,0.6682926829268293,0.7965116279069767,0.726790450928382,"[[104, 68], [35, 137]]"
gru,adam,1e-05,32,1,0.6831395348837209,0.647887323943662,0.8023255813953488,0.7168831168831169,"[[97, 75], [34, 138]]"
gru,adam,1e-05,32,2,0.686046511627907,0.6495327102803738,0.8081395348837209,0.7202072538860104,"[[97, 75], [33, 139]]"
gru,adam,1e-05,32,3,0.6947674418604651,0.6602870813397129,0.8023255813953488,0.7244094488188977,"[[101, 71], [34, 138]]"
gru,adam,1e-05,32,4,0.6918604651162791,0.6542056074766355,0.813953488372093,0.7253886010362695,"[[98, 74], [32, 140]]"
gru,adam,1e-05,32,5,0.6947674418604651,0.6602870813397129,0.8023255813953488,0.7244094488188977,"[[101, 71], [34, 138]]"
gru,adam,1e-05,64,1,0.688953488372093,0.6616915422885572,0.7732558139534884,0.7131367292225201,"[[104, 68], [39, 133]]"
gru,adam,1e-05,64,2,0.688953488372093,0.6555023923444976,0.7965116279069767,0.7191601049868767,"[[100, 72], [35, 137]]"
gru,adam,1e-05,64,3,0.688953488372093,0.6540284360189573,0.8023255813953488,0.720626631853786,"[[99, 73], [34, 138]]"
gru,adam,1e-05,64,4,0.688953488372093,0.6540284360189573,0.8023255813953488,0.720626631853786,"[[99, 73], [34, 138]]"
gru,adam,1e-05,64,5,0.686046511627907,0.6509433962264151,0.8023255813953488,0.71875,"[[98, 74], [34, 138]]"
gru,adam,1e-05,128,1,0.7034883720930233,0.6842105263157895,0.7558139534883721,0.7182320441988951,"[[112, 60], [42, 130]]"
gru,adam,1e-05,128,2,0.6831395348837209,0.6551724137931034,0.7732558139534884,0.7093333333333334,"[[102, 70], [39, 133]]"
gru,adam,1e-05,128,3,0.6831395348837209,0.6536585365853659,0.7790697674418605,0.7108753315649867,"[[101, 71], [38, 134]]"
gru,adam,1e-05,128,4,0.686046511627907,0.6481481481481481,0.813953488372093,0.7216494845360825,"[[96, 76], [32, 140]]"
gru,adam,1e-05,128,5,0.6831395348837209,0.6536585365853659,0.7790697674418605,0.7108753315649867,"[[101, 71], [38, 134]]"
gru,sgd,0.01,8,1,0.75,0.6919642857142857,0.9011627906976744,0.7828282828282829,"[[103, 69], [17, 155]]"
gru,sgd,0.01,8,2,0.7616279069767442,0.7102803738317757,0.8837209302325582,0.7875647668393783,"[[110, 62], [20, 152]]"
gru,sgd,0.01,8,3,0.7325581395348837,0.6739130434782609,0.9011627906976744,0.7711442786069652,"[[97, 75], [17, 155]]"
gru,sgd,0.01,8,4,0.7180232558139535,0.6623376623376623,0.8895348837209303,0.7593052109181141,"[[94, 78], [19, 153]]"
gru,sgd,0.01,8,5,0.7616279069767442,0.7027027027027027,0.9069767441860463,0.7918781725888325,"[[106, 66], [16, 156]]"
gru,sgd,0.01,16,1,0.7093023255813954,0.6621621621621622,0.8546511627906976,0.7461928934010152,"[[97, 75], [25, 147]]"
gru,sgd,0.01,16,2,0.6947674418604651,0.6502242152466368,0.8430232558139535,0.7341772151898734,"[[94, 78], [27, 145]]"
gru,sgd,0.01,16,3,0.7093023255813954,0.6565217391304348,0.877906976744186,0.7512437810945274,"[[93, 79], [21, 151]]"
gru,sgd,0.01,16,4,0.7122093023255814,0.6636771300448431,0.8604651162790697,0.7493670886075949,"[[97, 75], [24, 148]]"
gru,sgd,0.01,16,5,0.7122093023255814,0.6622222222222223,0.8662790697674418,0.7506297229219143,"[[96, 76], [23, 149]]"
gru,sgd,0.01,32,1,0.686046511627907,0.6481481481481481,0.813953488372093,0.7216494845360825,"[[96, 76], [32, 140]]"
gru,sgd,0.01,32,2,0.6831395348837209,0.6492890995260664,0.7965116279069767,0.7154046997389034,"[[98, 74], [35, 137]]"
gru,sgd,0.01,32,3,0.7005813953488372,0.6506550218340611,0.8662790697674418,0.743142144638404,"[[92, 80], [23, 149]]"
gru,sgd,0.01,32,4,0.6976744186046512,0.6478260869565218,0.8662790697674418,0.7412935323383084,"[[91, 81], [23, 149]]"
gru,sgd,0.01,32,5,0.7034883720930233,0.65625,0.8546511627906976,0.7424242424242424,"[[95, 77], [25, 147]]"
gru,sgd,0.01,64,1,0.6773255813953488,0.6431924882629108,0.7965116279069767,0.7116883116883117,"[[96, 76], [35, 137]]"
gru,sgd,0.01,64,2,0.6773255813953488,0.641860465116279,0.8023255813953488,0.7131782945736435,"[[95, 77], [34, 138]]"
gru,sgd,0.01,64,3,0.6802325581395349,0.6448598130841121,0.8023255813953488,0.7150259067357513,"[[96, 76], [34, 138]]"
gru,sgd,0.01,64,4,0.686046511627907,0.6467889908256881,0.8197674418604651,0.7230769230769231,"[[95, 77], [31, 141]]"
gru,sgd,0.01,64,5,0.6947674418604651,0.6502242152466368,0.8430232558139535,0.7341772151898734,"[[94, 78], [27, 145]]"
gru,sgd,0.01,128,1,0.6744186046511628,0.6401869158878505,0.7965116279069767,0.7098445595854922,"[[95, 77], [35, 137]]"
gru,sgd,0.01,128,2,0.6773255813953488,0.6487804878048781,0.7732558139534884,0.7055702917771883,"[[100, 72], [39, 133]]"
gru,sgd,0.01,128,3,0.6831395348837209,0.6451612903225806,0.813953488372093,0.7197943444730077,"[[95, 77], [32, 140]]"
gru,sgd,0.01,128,4,0.6773255813953488,0.641860465116279,0.8023255813953488,0.7131782945736435,"[[95, 77], [34, 138]]"
gru,sgd,0.01,128,5,0.6802325581395349,0.6435185185185185,0.8081395348837209,0.7164948453608248,"[[95, 77], [33, 139]]"
gru,sgd,0.001,8,1,0.6773255813953488,0.6431924882629108,0.7965116279069767,0.7116883116883117,"[[96, 76], [35, 137]]"
gru,sgd,0.001,8,2,0.6947674418604651,0.6502242152466368,0.8430232558139535,0.7341772151898734,"[[94, 78], [27, 145]]"
gru,sgd,0.001,8,3,0.6947674418604651,0.6502242152466368,0.8430232558139535,0.7341772151898734,"[[94, 78], [27, 145]]"
gru,sgd,0.001,8,4,0.6773255813953488,0.641860465116279,0.8023255813953488,0.7131782945736435,"[[95, 77], [34, 138]]"
gru,sgd,0.001,8,5,0.6802325581395349,0.6462264150943396,0.7965116279069767,0.7135416666666666,"[[97, 75], [35, 137]]"
gru,sgd,0.001,16,1,0.6773255813953488,0.641860465116279,0.8023255813953488,0.7131782945736435,"[[95, 77], [34, 138]]"
gru,sgd,0.001,16,2,0.6744186046511628,0.6428571428571429,0.7848837209302325,0.7068062827225131,"[[97, 75], [37, 135]]"
gru,sgd,0.001,16,3,0.6802325581395349,0.6490384615384616,0.7848837209302325,0.7105263157894737,"[[99, 73], [37, 135]]"
gru,sgd,0.001,16,4,0.686046511627907,0.6467889908256881,0.8197674418604651,0.7230769230769231,"[[95, 77], [31, 141]]"
gru,sgd,0.001,16,5,0.6744186046511628,0.6401869158878505,0.7965116279069767,0.7098445595854922,"[[95, 77], [35, 137]]"
gru,sgd,0.001,32,1,0.686046511627907,0.6649484536082474,0.75,0.7049180327868853,"[[107, 65], [43, 129]]"
gru,sgd,0.001,32,2,0.686046511627907,0.6568627450980392,0.7790697674418605,0.7127659574468085,"[[102, 70], [38, 134]]"
gru,sgd,0.001,32,3,0.6802325581395349,0.6703296703296703,0.7093023255813954,0.6892655367231638,"[[112, 60], [50, 122]]"
gru,sgd,0.001,32,4,0.6918604651162791,0.6793478260869565,0.7267441860465116,0.702247191011236,"[[113, 59], [47, 125]]"
gru,sgd,0.001,32,5,0.6744186046511628,0.7054794520547946,0.5988372093023255,0.6477987421383647,"[[129, 43], [69, 103]]"
gru,sgd,0.001,64,1,0.7005813953488372,0.6994219653179191,0.7034883720930233,0.7014492753623188,"[[120, 52], [51, 121]]"
gru,sgd,0.001,64,2,0.688953488372093,0.696969696969697,0.6686046511627907,0.6824925816023739,"[[122, 50], [57, 115]]"
gru,sgd,0.001,64,3,0.6744186046511628,0.75,0.5232558139534884,0.6164383561643836,"[[142, 30], [82, 90]]"
gru,sgd,0.001,64,4,0.688953488372093,0.6993865030674846,0.6627906976744186,0.6805970149253732,"[[123, 49], [58, 114]]"
gru,sgd,0.001,64,5,0.686046511627907,0.7909090909090909,0.5058139534883721,0.6170212765957447,"[[149, 23], [85, 87]]"
gru,sgd,0.001,128,1,0.6831395348837209,0.7006369426751592,0.6395348837209303,0.668693009118541,"[[125, 47], [62, 110]]"
gru,sgd,0.001,128,2,0.6831395348837209,0.794392523364486,0.4941860465116279,0.6093189964157706,"[[150, 22], [87, 85]]"
gru,sgd,0.001,128,3,0.6947674418604651,0.7005988023952096,0.6802325581395349,0.6902654867256637,"[[122, 50], [55, 117]]"
gru,sgd,0.001,128,4,0.6918604651162791,0.6666666666666666,0.7674418604651163,0.7135135135135136,"[[106, 66], [40, 132]]"
gru,sgd,0.001,128,5,0.686046511627907,0.82,0.4767441860465116,0.6029411764705882,"[[154, 18], [90, 82]]"
gru,sgd,0.0001,8,1,0.6976744186046512,0.6545454545454545,0.8372093023255814,0.7346938775510204,"[[96, 76], [28, 144]]"
gru,sgd,0.0001,8,2,0.688953488372093,0.6795580110497238,0.7151162790697675,0.6968838526912181,"[[114, 58], [49, 123]]"
gru,sgd,0.0001,8,3,0.6802325581395349,0.7540983606557377,0.5348837209302325,0.6258503401360545,"[[142, 30], [80, 92]]"
gru,sgd,0.0001,8,4,0.6947674418604651,0.8252427184466019,0.4941860465116279,0.6181818181818182,"[[154, 18], [87, 85]]"
gru,sgd,0.0001,8,5,0.6802325581395349,0.8163265306122449,0.4651162790697674,0.5925925925925926,"[[154, 18], [92, 80]]"
gru,sgd,0.0001,16,1,0.6976744186046512,0.6752577319587629,0.7616279069767442,0.7158469945355191,"[[109, 63], [41, 131]]"
gru,sgd,0.0001,16,2,0.7063953488372093,0.6839378238341969,0.7674418604651163,0.7232876712328767,"[[111, 61], [40, 132]]"
gru,sgd,0.0001,16,3,0.6947674418604651,0.6735751295336787,0.7558139534883721,0.7123287671232876,"[[109, 63], [42, 130]]"
gru,sgd,0.0001,16,4,0.688953488372093,0.8217821782178217,0.4825581395348837,0.608058608058608,"[[154, 18], [89, 83]]"
gru,sgd,0.0001,16,5,0.6918604651162791,0.6571428571428571,0.8023255813953488,0.7225130890052356,"[[100, 72], [34, 138]]"
gru,sgd,0.0001,32,1,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.6976744186046512,"[[120, 52], [52, 120]]"
gru,sgd,0.0001,32,2,0.7005813953488372,0.6547085201793722,0.8488372093023255,0.739240506329114,"[[95, 77], [26, 146]]"
