model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
lstm,sgd,0.01,64,2,0.6831395348837209,0.6551724137931034,0.7732558139534884,0.7093333333333334,"[[102, 70], [39, 133]]"
lstm,sgd,0.01,64,3,0.686046511627907,0.6523809523809524,0.7965116279069767,0.7172774869109948,"[[99, 73], [35, 137]]"
lstm,sgd,0.01,64,4,0.6773255813953488,0.6445497630331753,0.7906976744186046,0.7101827676240209,"[[97, 75], [36, 136]]"
lstm,sgd,0.01,64,5,0.688953488372093,0.6683937823834197,0.75,0.7068493150684931,"[[108, 64], [43, 129]]"
lstm,sgd,0.01,128,1,0.6715116279069767,0.6482412060301508,0.75,0.6954177897574124,"[[102, 70], [43, 129]]"
lstm,sgd,0.01,128,2,0.6627906976744186,0.6346153846153846,0.7674418604651163,0.6947368421052632,"[[96, 76], [40, 132]]"
lstm,sgd,0.01,128,3,0.6627906976744186,0.6333333333333333,0.7732558139534884,0.6963350785340314,"[[95, 77], [39, 133]]"
lstm,sgd,0.01,128,4,0.6656976744186046,0.6301369863013698,0.8023255813953488,0.7058823529411765,"[[91, 81], [34, 138]]"
lstm,sgd,0.01,128,5,0.6773255813953488,0.6564102564102564,0.7441860465116279,0.6975476839237057,"[[105, 67], [44, 128]]"
lstm,sgd,0.001,8,1,0.6715116279069767,0.6439024390243903,0.7674418604651163,0.7002652519893899,"[[99, 73], [40, 132]]"
lstm,sgd,0.001,8,2,0.686046511627907,0.6495327102803738,0.8081395348837209,0.7202072538860104,"[[97, 75], [33, 139]]"
lstm,sgd,0.001,8,3,0.688953488372093,0.6511627906976745,0.813953488372093,0.7235142118863049,"[[97, 75], [32, 140]]"
lstm,sgd,0.001,8,4,0.688953488372093,0.6649746192893401,0.7616279069767442,0.7100271002710027,"[[106, 66], [41, 131]]"
lstm,sgd,0.001,8,5,0.6831395348837209,0.6582914572864321,0.7616279069767442,0.706199460916442,"[[104, 68], [41, 131]]"
lstm,sgd,0.001,16,1,0.6656976744186046,0.6686390532544378,0.6569767441860465,0.6627565982404692,"[[116, 56], [59, 113]]"
lstm,sgd,0.001,16,2,0.6715116279069767,0.6577540106951871,0.7151162790697675,0.6852367688022284,"[[108, 64], [49, 123]]"
lstm,sgd,0.001,16,3,0.6802325581395349,0.6631578947368421,0.7325581395348837,0.6961325966850829,"[[108, 64], [46, 126]]"
lstm,sgd,0.001,16,4,0.6569767441860465,0.6336633663366337,0.7441860465116279,0.6844919786096256,"[[98, 74], [44, 128]]"
lstm,sgd,0.001,16,5,0.6569767441860465,0.640625,0.7151162790697675,0.6758241758241759,"[[103, 69], [49, 123]]"
lstm,sgd,0.001,32,1,0.6976744186046512,0.7073170731707317,0.6744186046511628,0.6904761904761905,"[[124, 48], [56, 116]]"
lstm,sgd,0.001,32,2,0.6918604651162791,0.6666666666666666,0.7674418604651163,0.7135135135135136,"[[106, 66], [40, 132]]"
lstm,sgd,0.001,32,3,0.6715116279069767,0.649746192893401,0.7441860465116279,0.6937669376693767,"[[103, 69], [44, 128]]"
lstm,sgd,0.001,32,4,0.6744186046511628,0.6456310679611651,0.7732558139534884,0.7037037037037037,"[[99, 73], [39, 133]]"
lstm,sgd,0.001,32,5,0.7034883720930233,0.6822916666666666,0.7616279069767442,0.7197802197802198,"[[111, 61], [41, 131]]"
lstm,sgd,0.001,64,1,0.7093023255813954,0.702247191011236,0.7267441860465116,0.7142857142857143,"[[119, 53], [47, 125]]"
lstm,sgd,0.001,64,2,0.6802325581395349,0.6490384615384616,0.7848837209302325,0.7105263157894737,"[[99, 73], [37, 135]]"
lstm,sgd,0.001,64,3,0.6918604651162791,0.8173076923076923,0.4941860465116279,0.6159420289855072,"[[153, 19], [87, 85]]"
lstm,sgd,0.001,64,4,0.6075581395348837,0.951219512195122,0.2267441860465116,0.3661971830985915,"[[170, 2], [133, 39]]"
lstm,sgd,0.001,64,5,0.6831395348837209,0.8181818181818182,0.4709302325581395,0.5977859778597786,"[[154, 18], [91, 81]]"
lstm,sgd,0.001,128,1,0.6133720930232558,0.5670103092783505,0.9593023255813954,0.712742980561555,"[[46, 126], [7, 165]]"
lstm,sgd,0.001,128,2,0.7151162790697675,0.7078651685393258,0.7325581395348837,0.72,"[[120, 52], [46, 126]]"
lstm,sgd,0.001,128,3,0.6715116279069767,0.6467661691542289,0.7558139534883721,0.6970509383378016,"[[101, 71], [42, 130]]"
lstm,sgd,0.001,128,4,0.5901162790697675,0.9428571428571428,0.191860465116279,0.3188405797101449,"[[170, 2], [139, 33]]"
lstm,sgd,0.001,128,5,0.5406976744186046,0.9375,0.0872093023255814,0.1595744680851064,"[[171, 1], [157, 15]]"
lstm,sgd,0.0001,8,1,0.7005813953488372,0.7090909090909091,0.6802325581395349,0.6943620178041543,"[[124, 48], [55, 117]]"
lstm,sgd,0.0001,8,2,0.7034883720930233,0.7364864864864865,0.6337209302325582,0.68125,"[[133, 39], [63, 109]]"
lstm,sgd,0.0001,8,3,0.6802325581395349,0.6519607843137255,0.7732558139534884,0.7074468085106383,"[[101, 71], [39, 133]]"
lstm,sgd,0.0001,8,4,0.6918604651162791,0.902439024390244,0.4302325581395348,0.5826771653543307,"[[164, 8], [98, 74]]"
lstm,sgd,0.0001,8,5,0.5174418604651163,1.0,0.0348837209302325,0.0674157303370786,"[[172, 0], [166, 6]]"
lstm,sgd,0.0001,16,1,0.7122093023255814,0.8924731182795699,0.4825581395348837,0.6264150943396226,"[[162, 10], [89, 83]]"
lstm,sgd,0.0001,16,2,0.7093023255813954,0.8829787234042553,0.4825581395348837,0.6240601503759399,"[[161, 11], [89, 83]]"
lstm,sgd,0.0001,16,3,0.6686046511627907,0.9393939393939394,0.3604651162790697,0.5210084033613446,"[[168, 4], [110, 62]]"
lstm,sgd,0.0001,16,4,0.5116279069767442,1.0,0.0232558139534883,0.0454545454545454,"[[172, 0], [168, 4]]"
lstm,sgd,0.0001,16,5,0.5843023255813954,0.9393939393939394,0.1802325581395348,0.3024390243902439,"[[170, 2], [141, 31]]"
lstm,sgd,0.0001,32,1,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,0.0001,32,2,0.5813953488372093,0.5443037974683544,1.0,0.7049180327868853,"[[28, 144], [0, 172]]"
lstm,sgd,0.0001,32,3,0.6773255813953488,0.6564102564102564,0.7441860465116279,0.6975476839237057,"[[105, 67], [44, 128]]"
lstm,sgd,0.0001,32,4,0.561046511627907,0.8888888888888888,0.1395348837209302,0.2412060301507537,"[[169, 3], [148, 24]]"
lstm,sgd,0.0001,32,5,0.6656976744186046,0.6338028169014085,0.7848837209302325,0.7012987012987013,"[[94, 78], [37, 135]]"
lstm,sgd,0.0001,64,1,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,0.0001,64,2,0.5319767441860465,0.7894736842105263,0.0872093023255814,0.1570680628272251,"[[168, 4], [157, 15]]"
lstm,sgd,0.0001,64,3,0.4970930232558139,0.0,0.0,0.0,"[[171, 1], [172, 0]]"
lstm,sgd,0.0001,64,4,0.5726744186046512,0.5391849529780565,1.0,0.7006109979633401,"[[25, 147], [0, 172]]"
lstm,sgd,0.0001,64,5,0.6831395348837209,0.8987341772151899,0.4127906976744186,0.5657370517928287,"[[164, 8], [101, 71]]"
lstm,sgd,0.0001,128,1,0.502906976744186,0.5014577259475219,1.0,0.6679611650485436,"[[1, 171], [0, 172]]"
lstm,sgd,0.0001,128,2,0.5087209302325582,0.5043988269794721,1.0,0.6705653021442495,"[[3, 169], [0, 172]]"
lstm,sgd,0.0001,128,3,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,0.0001,128,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,0.0001,128,5,0.6366279069767442,0.5975103734439834,0.8372093023255814,0.6973365617433414,"[[75, 97], [28, 144]]"
lstm,sgd,1e-05,8,1,0.622093023255814,0.5783582089552238,0.9011627906976744,0.7045454545454546,"[[59, 113], [17, 155]]"
lstm,sgd,1e-05,8,2,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,8,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,8,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,8,5,0.6308139534883721,0.5778546712802768,0.9709302325581396,0.7245119305856833,"[[50, 122], [5, 167]]"
lstm,sgd,1e-05,16,1,0.6831395348837209,0.6465116279069767,0.8081395348837209,0.7183462532299741,"[[96, 76], [33, 139]]"
lstm,sgd,1e-05,16,2,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,16,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,16,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,16,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,32,1,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,32,2,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,32,3,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,32,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,32,5,0.5901162790697675,0.7924528301886793,0.2441860465116279,0.3733333333333333,"[[161, 11], [130, 42]]"
lstm,sgd,1e-05,64,1,0.502906976744186,0.5014577259475219,1.0,0.6679611650485436,"[[1, 171], [0, 172]]"
lstm,sgd,1e-05,64,2,0.5,0.5,0.9825581395348836,0.6627450980392157,"[[3, 169], [3, 169]]"
lstm,sgd,1e-05,64,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,64,4,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,64,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,128,1,0.502906976744186,0.5014577259475219,1.0,0.6679611650485436,"[[1, 171], [0, 172]]"
lstm,sgd,1e-05,128,2,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,128,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,128,4,0.5174418604651163,0.5088757396449705,1.0,0.6745098039215687,"[[6, 166], [0, 172]]"
lstm,sgd,1e-05,128,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,rmsprop,0.01,8,1,0.8313953488372093,0.8166666666666667,0.8546511627906976,0.8352272727272727,"[[139, 33], [25, 147]]"
lstm,rmsprop,0.01,8,2,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,rmsprop,0.01,8,3,0.8837209302325582,0.8793103448275862,0.8895348837209303,0.884393063583815,"[[151, 21], [19, 153]]"
lstm,rmsprop,0.01,8,4,0.8575581395348837,0.847457627118644,0.872093023255814,0.8595988538681948,"[[145, 27], [22, 150]]"
lstm,rmsprop,0.01,8,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,rmsprop,0.01,16,1,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
lstm,rmsprop,0.01,16,2,0.8575581395348837,0.8288770053475936,0.9011627906976744,0.8635097493036211,"[[140, 32], [17, 155]]"
lstm,rmsprop,0.01,16,3,0.8488372093023255,0.8125,0.9069767441860463,0.8571428571428571,"[[136, 36], [16, 156]]"
lstm,rmsprop,0.01,16,4,0.8313953488372093,0.8031914893617021,0.877906976744186,0.8388888888888889,"[[135, 37], [21, 151]]"
lstm,rmsprop,0.01,16,5,0.811046511627907,0.7715736040609137,0.8837209302325582,0.8238482384823849,"[[127, 45], [20, 152]]"
lstm,rmsprop,0.01,32,1,0.8372093023255814,0.8118279569892473,0.877906976744186,0.8435754189944135,"[[137, 35], [21, 151]]"
